lakeID,location,long,lat,pH,DOC,TP,TN,methanogen_perc
BA,UNDERC,-89.49,46.24,7,6.5,22.8,840,0.03061616
BC,Michiana,-86.19,42.07,7.8,5,16.5,333,0.0033745
BE,UNDERC,-89.51,46.24,5.2,9.4,21.5,531,0.026282394
BO,UNDERC,-89.49,46.23,5.4,19.5,48.7,1389,0.053055542
BR,UNDERC,-89.47,46.21,8.3,6.6,86.9,1187,0.022422443
CB,UNDERC,-89.57,46.23,4.1,18.2,33,990,0.036778399
CH,Michiana,-85.89,41.85,7.9,5.5,18.8,508,0.001376147
CO,Michiana,-85.74,41.93,7.9,4.6,18.2,508,0.034480915
CR,UNDERC,-89.47,46.21,5.9,4.5,11.1,1111,0.008270612
DI,Michiana,-85.97,41.9,7.8,4.9,16.7,878,0.011420146
DO,Michiana,-85.88,41.9,7.8,4.7,15.8,661,0.020072437
FO,UNDERC,-89.48,46.25,5.5,11.1,52.6,696,0.010109039
GA,Michiana,-86.05,41.78,7.9,8.8,22.4,493,0.002479221
GV,Michiana,-85.86,42.07,8.3,5.6,16,404,0.012837727
HB,UNDERC,-89.5,46.24,5.3,23,30.7,1678,0.030346066
HU,Michiana,-86.54,41.71,8.3,7.7,16.4,475,0.013010172
JU,Michiana,-85.98,41.81,7.6,6,22.5,727,0.013928865
LW,Michiana,-86.22,41.42,8,12.6,31.67,1997,0.002728118
MA,Michiana,-86.17,42.06,7.9,6,16.5,568,0.019563217
MO,UNDERC,-89.52,46.25,7.8,22.6,36.2,1450,0.011755919
NC,Michiana,-86.37,41.69,8.2,11.6,18.9,757,0.013387378
NG,UNDERC,-89.49,46.25,4.7,23.4,17.6,2239,0.003706993
PA,UNDERC,-89.5,46.25,7.2,5.1,40.9,1024,0.034185977
PE,UNDERC,-89.5,46.25,7.7,6.4,12,1252,0.00469028
PL,Michiana,-86.27,41.51,8,22.1,39.7,2505,0.026073014
RO,Michiana,-86.2,42.07,7.9,5.3,18.7,523,0.001545411
SN,Michiana,-85.96,41.75,7.4,4.5,15.3,813,0.009853401
ST,Michiana,-86.01,41.9,8,8.7,17.5,514,0.031487173
TR,UNDERC,-89.52,46.22,4.4,40.5,22.7,1126,0.078667401
TU,UNDERC,-89.49,46.25,6.7,13.4,15.3,1122,0.028588367
UF,Michiana,-86.54,41.57,8.1,11.6,26.5,756,0.015741168
WL,UNDERC,-89.5,46.23,6,7.4,22.1,803,0.020727218
